person_id,player_name,std_first_name,german
01DO07R120000000VV0AG80NVT5FJBAQ,Dominik Ammon,dominik,Y
00QBSCGHFO000000VV0AG819VSKRC3V1,Patrick Baringer,patrick,Y
00QBS0CKJS000000VV0AG819VSPRME8B,Yasin Yilmaz,yasin,N
00QBSIDVO8000000VV0AG819VSPRME8B,Pascal Schmidt,pascal,Y
00M2KKQNN8000000VV0AG83KVVACFEB4,Andreas Christoph,andreas,Y
00QBTD3524000000VV0AG819VSPRME8B,Thomas Brattinger,thomas,Y
00QBT0MDMO000000VV0AG819VSKRC3V1,Calvin Weinert,calvin,Y
00UUFUCG40000000VV0AG811VUHEER09,Michael Zech,michael,Y
00QBTBREIS000000VV0AG819VSKRC3V1,Thomas Laupheimer,thomas,Y
00QBSQG3F0000000VV0AG819VSKRC3V1,Florian Pfeiffer,florian,Y
00QBSM735C000000VV0AG819VSKRC3V1,Felix Bischoff,felix,Y
019MT4N6SK000000VV0AG80NVVSC42OR,Paul Bejan,paul,Y
00QBSIA8OK000000VV0AG819VSKRC3V1,Philip Engelbrecht,philip,Y
00QBTDRJAG000000VV0AG819VSKRC3V1,Luca Leonardo De Simone,luca,N
00QBSHN7B4000000VV0AG819VSPRME8B,Armin Hoegg,armin,Y
00QBTDU3Q8000000VV0AG819VSKRC3V1,Philipp Pfeifer,philipp,Y
00Q5Q5O8LS000000VV0AG85VVV05E0NJ,Stefan Schletterer,stefan,Y
01LBARJVBS000000VV0AG80NVV99VK9U,Adrian Ghele,adrian,N
00QBS7MQR0000000VV0AG819VSKRC3V1,Sebastian Etschel,sebastian,Y
00QBSOJB8S000000VV0AG819VSPRME8B,Martin Krumbholz,martin,Y
00QBT3I7M0000000VV0AG819VSKRC3V1,Ludwig Höfelschweiger,ludwig,Y
00QBRVFVVS000000VV0AG819VSPRME8B,Manuel Contento,manuel,N
00QBSCKUP8000000VV0AG819VSPRME8B,Maximilian Keilhofer,maximilian,Y
00QBTC5GHC000000VV0AG819VSKRC3V1,Tom Richter,tom,Y
00QBTF0KIK000000VV0AG819VSKRC3V1,Tarik Chaouki,tarik,N
00QBT8FKLG000000VV0AG819VSKRC3V1,Vanja Grabovac,vanja,N
00QBSSVDVC000000VV0AG819VSKRC3V1,Max Herrmannsdoerfer,max,Y
00QBSRPJIS000000VV0AG819VSKRC3V1,Florent Gerxhaliu,florent,N
00QBSDQDC4000000VV0AG819VSPRME8B,Christian Koelbl,christian,Y
00QBSNNTO0000000VV0AG819VSKRC3V1,Andreas Forster,andreas,Y
00QBS9F1CC000000VV0AG819VSPRME8B,Thomas Altmann,thomas,Y
01PVBPUDCO000000VV0AG811VUNH3IDQ,Jakov Hrkac,jakov,N
01DO0S2EGC000000VV0AG80NVT5FJBAQ,Thorsten Weiß,thorsten,Y
00QBSAC9V8000000VV0AG819VSPRME8B,Franz Warga,franz,Y
00T4J1LHEG000000VV0AG811VSVM75NN,Alexander Schroll,alexander,Y
00QBSIKV44000000VV0AG819VSKRC3V1,Franz Schorer,franz,Y
00QBTBU5GO000000VV0AG819VSKRC3V1,Jan Singer,jan,Y
00QBSG2AR4000000VV0AG819VSKRC3V1,Robert Koenigsperger,robert,Y
00QBSPDKVO000000VV0AG819VSPRME8B,Christoph Eckl,christoph,Y
00QBS6H240000000VV0AG819VSKRC3V1,Eddy Ryan,eddy,N
01N9GF47F8000000VV0AG80NVU2DPVKK,Ilias Krikelis,ilias,N
00QBSJJNT8000000VV0AG819VSKRC3V1,Thomas Feldle,thomas,Y
00QBSTBHL8000000VV0AG819VSKRC3V1,Dominik Gleixner,dominik,Y
00QBSR86DK000000VV0AG819VSKRC3V1,Matthias Felkl,matthias,Y
